Index,Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData
0,Spider-Man,Secret,Living,Male,Good,Human,178.0,74.0,Hazel,Brown,,Marvel Comics,1962.0,4043.0,1962-08-01,Peter Parker
1,Spider-Man,Secret,Living,Male,Good,Human,178.0,77.0,Red,Brown,,Marvel Comics,1962.0,4043.0,1962-08-01,Peter Parker
2,Spider-Man,Secret,Living,Male,Good,Human,157.0,56.0,Brown,Black,,Marvel Comics,1962.0,4043.0,1962-08-01,Peter Parker
3,Captain America,Public,Living,Male,Good,Human,188.0,108.0,Blue,Blond,,Marvel Comics,1941.0,3360.0,1941-03-01,Steven Rogers
4,Captain America,Secret,Living,Male,Good,Human,188.0,108.0,Blue,Blond,,Marvel Comics,1966.0,1.0,1966-10-01,"Impersonator, Sons of the Serpent"
5,Captain America,Secret,Living,Male,Good,Human,188.0,108.0,Blue,Blond,,Marvel Comics,1998.0,1.0,1998-10-01,Taskmaster Robot
6,Wolverine,Public,Living,Male,Good,Mutant,160.0,135.0,Blue,Black,,Marvel Comics,1974.0,3061.0,1974-10-01,"James ""Logan"" Howlett"
7,Wolverine,Secret,Living,Male,Good,Mutant,160.0,135.0,Blue,Black,,Marvel Comics,2012.0,1.0,2012-12-01,Hatchitech
8,Iron Man,Public,Living,Male,Good,Human,198.0,191.0,Blue,Black,,Marvel Comics,1963.0,2961.0,1963-03-01,"Anthony ""Tony"" Stark"
9,Iron Man,Public,Deceased,Male,Good,Human,198.0,191.0,Blue,Black,,Marvel Comics,2000.0,4.0,2000-03-01,Sentient Armor
10,Iron Man,Secret,Living,Male,Good,Human,198.0,191.0,Blue,Black,,Marvel Comics,1998.0,1.0,1998-10-01,Taskmaster Robot
11,Thor,No Dual,Living,Male,Good,Asgardian,198.0,288.0,Blue,Blond,,Marvel Comics,1950.0,2258.0,1950-11-01,Thor Odinson
12,Thor,Secret,Living,Male,Good,Asgardian,198.0,288.0,Blue,Blond,,Marvel Comics,1998.0,1.0,1998-10-01,Taskmaster Robot
13,Thor,,Living,Male,Good,Asgardian,198.0,288.0,Blue,Blond,,Marvel Comics,1954.0,,1954-12-01,Jovian
14,Thor,,Living,Male,Good,Asgardian,198.0,288.0,Blue,Blond,,Marvel Comics,1956.0,14.0,1956-10-01,
15,Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1961.0,2255.0,1961-11-01,
16,Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1996.0,13.0,1996-11-01,Heroes Reborn
17,Benjamin Grimm,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962.0,8.0,1962-01-01,"Skrull, Cow"
18,Benjamin Grimm,,Living,Male,Bad,,,,,,,Marvel,1992.0,4.0,1992-06-01,Doppelganger
19,Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,2007.0,4.0,2007-02-01,Onslaught Reborn
20,Benjamin Grimm,Public,Living,Male,Good,,,,Blue,Brown,,Marvel,1973.0,1.0,1973-08-01,Counter-Earth
21,Benjamin Grimm,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008.0,,2008-06-01,Skrull
22,Reed Richards,Public,Living,Male,Good,,,,Brown,Brown,,Marvel,1961.0,2072.0,1961-11-01,
23,Reed Richards,,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1972.0,20.0,1972-05-01,Counter-Earth
24,Reed Richards,Public,Living,Male,Good,,,,,Brown,,Marvel,1996.0,13.0,1996-11-01,Heroes Reborn
25,Reed Richards,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962.0,8.0,1962-01-01,"Skrull, Cow"
