Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
3-D Man,good,50.0,31.0,43.0,32.0,25.0,52.0,233.0
A-Bomb,good,38.0,100.0,17.0,80.0,17.0,64.0,316.0
Abe Sapien,good,88.0,14.0,35.0,42.0,35.0,85.0,299.0
Abin Sur,good,50.0,90.0,53.0,64.0,84.0,65.0,406.0
Abomination,bad,63.0,80.0,53.0,90.0,55.0,95.0,436.0
Abraxas,bad,88.0,100.0,83.0,99.0,100.0,56.0,526.0
Adam Monroe,good,63.0,10.0,12.0,100.0,71.0,64.0,320.0
Adam Strange,good,,,,,,,
Agent  13,good,,,,,,,
Agent Bob,good,10.0,8.0,13.0,5.0,5.0,20.0,61.0
Agent Zero,good,75.0,28.0,38.0,80.0,72.0,95.0,388.0
Air-Walker,bad,50.0,85.0,100.0,85.0,100.0,40.0,460.0
Alan Scott,good,63.0,80.0,23.0,90.0,98.0,32.0,386.0
Alex Woolsly,good,,,,,,,
Alfred Pennyworth,good,63.0,10.0,17.0,10.0,7.0,55.0,162.0
Allan Quatermain,good,,,,,,,
Amazo,bad,75.0,100.0,100.0,100.0,100.0,100.0,575.0
Ammo,bad,,,,,,,
Ando Masahashi,good,,,,,,,
Angel,good,63.0,13.0,46.0,64.0,17.0,42.0,245.0
Angel Salvadore,good,38.0,10.0,28.0,28.0,46.0,60.0,210.0
Angela,bad,,,,,,,
Animal Man,good,56.0,48.0,47.0,85.0,73.0,80.0,389.0
Annihilus,bad,75.0,80.0,47.0,56.0,59.0,64.0,381.0
Ant-Man,good,100.0,10.0,23.0,28.0,32.0,32.0,225.0
Ant-Man II,good,63.0,10.0,23.0,28.0,32.0,28.0,184.0
Anti-Monitor,bad,88.0,90.0,38.0,90.0,100.0,90.0,496.0
Anti-Spawn,bad,,,,,,,
Anti-Venom,,75.0,60.0,65.0,90.0,85.0,84.0,459.0
Apocalypse,bad,100.0,100.0,33.0,100.0,100.0,60.0,493.0
Aquababy,good,10.0,16.0,12.0,14.0,37.0,14.0,103.0
Aqualad,good,63.0,44.0,42.0,75.0,76.0,60.0,360.0
Aquaman,good,63.0,80.0,50.0,80.0,65.0,80.0,418.0
Arachne,good,,,,,,,
Archangel,good,63.0,13.0,58.0,64.0,28.0,42.0,268.0
Arclight,bad,38.0,63.0,23.0,42.0,52.0,70.0,288.0
Ares,good,75.0,82.0,35.0,80.0,62.0,101.0,435.0
Ariel,good,50.0,10.0,12.0,14.0,72.0,28.0,186.0
Armor,good,50.0,63.0,12.0,80.0,55.0,54.0,314.0
Arsenal,good,,,,,,,
Astro Boy,good,,,,,,,
Atlas,good,50.0,80.0,23.0,99.0,69.0,42.0,363.0
Atom,good,,,,,,,
Atom Girl,good,38.0,10.0,23.0,28.0,38.0,42.0,179.0
Atom I,good,,,,,,,
Atom II,good,,,,,,,
Atom III,good,,,,,,,
Atom IV,good,,,,,,,
Aurora,good,50.0,15.0,83.0,56.0,69.0,56.0,329.0
Azazel,bad,50.0,11.0,47.0,95.0,87.0,80.0,370.0
Azrael,good,63.0,18.0,17.0,20.0,35.0,80.0,233.0
Aztar,good,,,,,,,
Bane,bad,88.0,53.0,23.0,56.0,51.0,95.0,366.0
Banshee,good,50.0,10.0,58.0,42.0,60.0,70.0,290.0
Bantam,good,25.0,53.0,23.0,54.0,21.0,56.0,232.0
Batgirl I,good,,,,,,,
Batgirl II,good,,,,,,,
Batgirl III,good,,,,,,,
Batgirl IV,good,69.0,12.0,27.0,56.0,42.0,100.0,306.0
Batgirl V,good,,,,,,,
Batgirl VI,good,75.0,10.0,23.0,28.0,22.0,80.0,238.0
Batman,good,100.0,18.0,27.0,42.0,37.0,100.0,324.0
Batman II,good,88.0,11.0,33.0,28.0,36.0,100.0,296.0
Battlestar,good,50.0,53.0,35.0,74.0,48.0,74.0,334.0
Beak,good,,,,,,,
Beast,good,88.0,48.0,35.0,56.0,35.0,84.0,346.0
Beast Boy,good,50.0,28.0,50.0,70.0,79.0,40.0,317.0
Beetle,bad,,,,,,,
Ben 10,good,10.0,7.0,8.0,10.0,90.0,40.0,165.0
Beta Ray Bill,good,63.0,80.0,35.0,95.0,100.0,84.0,457.0
Beyonder,good,88.0,100.0,23.0,100.0,100.0,56.0,467.0
Big Barda,good,63.0,90.0,23.0,85.0,42.0,72.0,375.0
Big Daddy,good,38.0,10.0,12.0,32.0,22.0,64.0,178.0
Big Man,bad,75.0,12.0,23.0,28.0,19.0,70.0,227.0
Bill Harken,good,63.0,36.0,33.0,60.0,23.0,40.0,255.0
Billy Kincaid,bad,,,,,,,
Binary,good,,,,,,,
Bird-Brain,good,25.0,10.0,35.0,28.0,21.0,42.0,161.0
Bird-Man,bad,,,,,,,
Bird-Man II,bad,,,,,,,
Birdman,good,,,,,,,
Bishop,good,63.0,14.0,23.0,75.0,85.0,65.0,325.0
Bizarro,neutral,75.0,95.0,100.0,100.0,95.0,85.0,550.0
Black Abbott,bad,,,,,,,
Black Adam,bad,88.0,100.0,92.0,100.0,89.0,56.0,525.0
Black Bolt,good,75.0,67.0,100.0,84.0,100.0,56.0,482.0
Black Canary I,good,,,,,,,
Black Canary II,good,,,,,,,
Black Cat,good,75.0,16.0,33.0,10.0,23.0,70.0,227.0
Black Goliath,good,,,,,,,
Black Knight III,good,63.0,10.0,8.0,70.0,43.0,70.0,264.0
Black Lightning,good,50.0,11.0,53.0,28.0,70.0,75.0,287.0
Black Mamba,bad,75.0,10.0,35.0,42.0,78.0,65.0,305.0
Black Panther,good,88.0,16.0,30.0,60.0,41.0,100.0,335.0
Black Widow,good,75.0,13.0,27.0,32.0,32.0,100.0,279.0
Black Widow II,good,,,,,,,
Blackout,bad,63.0,32.0,45.0,80.0,38.0,65.0,323.0
Blackwing,bad,38.0,10.0,35.0,32.0,20.0,56.0,191.0
Blackwulf,,50.0,28.0,8.0,30.0,59.0,25.0,200.0
Blade,good,63.0,28.0,38.0,50.0,33.0,90.0,302.0
Blaquesmith,good,,,,,,,
Bling!,good,69.0,14.0,12.0,90.0,52.0,28.0,265.0
Blink,good,50.0,8.0,20.0,28.0,55.0,64.0,225.0
Blizzard,bad,,,,,,,
Blizzard I,bad,,,,,,,
Blizzard II,bad,38.0,10.0,27.0,42.0,47.0,56.0,220.0
Blob,bad,10.0,83.0,23.0,95.0,26.0,72.0,309.0
Bloodaxe,bad,63.0,80.0,33.0,80.0,84.0,84.0,424.0
Bloodhawk,good,50.0,10.0,50.0,80.0,66.0,64.0,320.0
Bloodwraith,bad,,,,,,,
Blue Beetle,good,,,,,,,
Blue Beetle I,good,,,,,,,
Blue Beetle II,good,,,,,,,
Blue Beetle III,good,50.0,34.0,58.0,80.0,97.0,30.0,349.0
Bolt,good,,,,,,,
Bomb Queen,bad,,,,,,,
Boom Boom,good,38.0,10.0,12.0,42.0,56.0,64.0,222.0
Boomer,good,,,,,,,
Booster Gold,good,56.0,85.0,53.0,50.0,72.0,40.0,356.0
Box,good,,,,,,,
Box III,good,,,,,,,
Box IV,good,50.0,75.0,23.0,28.0,11.0,56.0,243.0
Brainiac,bad,100.0,28.0,63.0,90.0,60.0,75.0,416.0
Brainiac 5,good,100.0,10.0,23.0,28.0,60.0,32.0,253.0
Brother Voodoo,good,,,,,,,
Bullseye,bad,50.0,11.0,25.0,70.0,20.0,70.0,246.0
Bumblebee,good,63.0,28.0,25.0,10.0,45.0,35.0,206.0
Bumbleboy,good,,,,,,,
