source,value,timestamp
temperature{room="kitchen"},4999.973056096343,1556661600000.0
temperature{room="living_room"},5200.229379459036,1556661623000.0
temperature{room="bathroom"},1000.0,1556661611000.0
temperature{room="corridor"},4999.971786944787,1556661600000.0
humidity{room="corridor"},4999.830438513686,1556661600000.0
humidity{room="kitchen"},5000.0,1556661600000.0
humidity{room="bathroom"},15000.069459995188,1556661600000.0
temperature{room="kitchen"},4999.892776074512,1556661605000.0
temperature{room="living_room"},5199.920890960729,1556661628200.0
temperature{room="bathroom"},1000.0,1556661612000.0
temperature{room="corridor"},5000.005910565626,1556661601000.0
humidity{room="corridor"},5000.674005806682,1556661605000.0
humidity{room="kitchen"},5000.0,1556661605000.0
humidity{room="bathroom"},14999.852924633573,1556661615000.0
temperature{room="kitchen"},5000.035514811139,1556661610000.0
temperature{room="living_room"},5200.08637307356,1556661633400.0
temperature{room="bathroom"},1000.0,1556661613000.0
temperature{room="corridor"},5000.009872509788,1556661602000.0
humidity{room="corridor"},5000.174279909533,1556661610000.0
humidity{room="kitchen"},5000.0,1556661610000.0
humidity{room="bathroom"},15000.158886971542,1556661630000.0
temperature{room="kitchen"},4999.97948933568,1556661615000.0
temperature{room="living_room"},5199.966558160323,1556661638600.0
temperature{room="bathroom"},1000.0,1556661614000.0
temperature{room="corridor"},5000.020210308202,1556661603000.0
humidity{room="corridor"},4999.688651434782,1556661615000.0
humidity{room="kitchen"},5000.0,1556661615000.0
humidity{room="bathroom"},15000.093317239207,1556661645000.0
temperature{room="kitchen"},5000.009419745029,1556661620000.0
temperature{room="living_room"},5200.032020294606,1556661643800.0
temperature{room="bathroom"},1000.0,1556661615000.0
temperature{room="corridor"},4999.946299020466,1556661604000.0
humidity{room="corridor"},4999.887445559982,1556661620000.0
humidity{room="kitchen"},5000.0,1556661620000.0
humidity{room="bathroom"},15000.102218491684,1556661660000.0
temperature{room="kitchen"},4999.961928017385,1556661625000.0
temperature{room="living_room"},5200.068651211483,1556661649000.0
temperature{room="bathroom"},1000.0,1556661616000.0
temperature{room="corridor"},5000.036140826233,1556661605000.0
humidity{room="corridor"},5000.324218031512,1556661625000.0
humidity{room="kitchen"},5000.0,1556661625000.0
humidity{room="bathroom"},14999.895794418246,1556661675000.0
temperature{room="kitchen"},5000.031247715715,1556661630000.0
temperature{room="living_room"},5200.237731309169,1556661654200.0
temperature{room="bathroom"},1000.0,1556661617000.0
temperature{room="corridor"},4999.962393892464,1556661606000.0
