source,value,timestamp
temperature{room="kitchen"},5000.003106480479,1556711600000.0
temperature{room="living_room"},5200.092254702796,1556713623000.0
temperature{room="bathroom"},1000.0,1556671611000.0
temperature{room="corridor"},4999.9920893829485,1556671600000.0
humidity{room="corridor"},4999.859111027508,1556711600000.0
humidity{room="kitchen"},5000.0,1556711600000.0
humidity{room="bathroom"},15000.091814212234,1556811600000.0
temperature{room="kitchen"},4999.949861990545,1556711605000.0
temperature{room="living_room"},5199.9647646476315,1556713628200.0
temperature{room="bathroom"},1000.0,1556671612000.0
temperature{room="corridor"},5000.001112171469,1556671601000.0
humidity{room="corridor"},5000.087976729565,1556711605000.0
humidity{room="kitchen"},5000.0,1556711605000.0
humidity{room="bathroom"},14999.899854309968,1556811615000.0
temperature{room="kitchen"},4999.935723346224,1556711610000.0
temperature{room="living_room"},5200.024906540544,1556713633400.0
temperature{room="bathroom"},1000.0,1556671613000.0
temperature{room="corridor"},5000.0485341984195,1556671602000.0
humidity{room="corridor"},4999.845740563602,1556711610000.0
humidity{room="kitchen"},5000.0,1556711610000.0
humidity{room="bathroom"},14999.906453775713,1556811630000.0
temperature{room="kitchen"},5000.183073358954,1556711615000.0
temperature{room="living_room"},5200.150064754809,1556713638600.0
temperature{room="bathroom"},1000.0,1556671614000.0
temperature{room="corridor"},5000.014474525848,1556671603000.0
humidity{room="corridor"},4999.807644270897,1556711615000.0
humidity{room="kitchen"},5000.0,1556711615000.0
humidity{room="bathroom"},15000.162790621174,1556811645000.0
temperature{room="kitchen"},5000.018932219065,1556711620000.0
temperature{room="living_room"},5199.865295699149,1556713643800.0
temperature{room="bathroom"},1000.0,1556671615000.0
temperature{room="corridor"},5000.063188873717,1556671604000.0
humidity{room="corridor"},4999.9181955516115,1556711620000.0
humidity{room="kitchen"},5000.0,1556711620000.0
humidity{room="bathroom"},15000.03242498528,1556811660000.0
temperature{room="kitchen"},5000.07212526317,1556711625000.0
temperature{room="living_room"},5199.957643181049,1556713649000.0
temperature{room="bathroom"},1000.0,1556671616000.0
temperature{room="corridor"},4999.9996184660085,1556671605000.0
humidity{room="corridor"},5000.104064600677,1556711625000.0
humidity{room="kitchen"},5000.0,1556711625000.0
humidity{room="bathroom"},15000.03700134337,1556811675000.0
temperature{room="kitchen"},5000.184472653818,1556711630000.0
temperature{room="living_room"},5200.152993671634,1556713654200.0
temperature{room="bathroom"},1000.0,1556671617000.0
temperature{room="corridor"},4999.979203648063,1556671606000.0
humidity{room="corridor"},5000.116158400244,1556711630000.0
humidity{room="kitchen"},5000.0,1556711630000.0
humidity{room="bathroom"},14999.986339583433,1556811690000.0
temperature{room="kitchen"},4999.981898842095,1556711635000.0
temperature{room="living_room"},5199.998610836947,1556713659400.0
temperature{room="bathroom"},1000.0,1556671618000.0
temperature{room="corridor"},4999.994219499054,1556671607000.0
humidity{room="corridor"},5000.016364205928,1556711635000.0
humidity{room="kitchen"},5000.0,1556711635000.0
humidity{room="bathroom"},15000.04104586228,1556811705000.0
temperature{room="kitchen"},5000.079106968329,1556711640000.0
temperature{room="living_room"},5199.954699549285,1556713664600.0
temperature{room="bathroom"},1000.0,1556671619000.0
